customer_id,restaurant_id,rider_id,order_date,total_amount,delivery_time
3347,6,172,2024-01-01 00:00:00,445.8,20
1874,157,25,2024-01-01 01:00:00,370.81,37
4535,17,103,2024-01-01 02:00:00,293.09,60
3804,117,190,2024-01-01 03:00:00,175.72,16
1980,60,236,2024-01-01 04:00:00,1132.51,32
699,150,37,2024-01-01 05:00:00,1117.09,44
1313,152,272,2024-01-01 06:00:00,202.94,52
2963,125,293,2024-01-01 07:00:00,331.74,19
2939,81,152,2024-01-01 08:00:00,296.48,60
4788,85,282,2024-01-01 09:00:00,445.28,63
2301,51,20,2024-01-01 10:00:00,364.27,25
3198,178,137,2024-01-01 11:00:00,1143.15,15
127,139,29,2024-01-01 12:00:00,238.38,24
1192,184,31,2024-01-01 13:00:00,372.25,55
2640,71,19,2024-01-01 14:00:00,234.76,66
4390,170,148,2024-01-01 15:00:00,1179.4,58
3917,39,283,2024-01-01 16:00:00,1114.33,40
1367,69,300,2024-01-01 17:00:00,902.46,47
1020,48,163,2024-01-01 18:00:00,597.27,41
4080,125,113,2024-01-01 19:00:00,349.69,64
4515,57,150,2024-01-01 20:00:00,382.56,26
4540,21,255,2024-01-01 21:00:00,615.19,16
685,82,87,2024-01-01 22:00:00,956.63,15
3630,99,98,2024-01-01 23:00:00,427.97,15
2888,148,132,2024-01-02 00:00:00,476.33,47
1463,15,97,2024-01-02 01:00:00,779.94,36
4087,69,98,2024-01-02 02:00:00,399.62,26
2262,179,290,2024-01-02 03:00:00,763.43,53
4181,76,227,2024-01-02 04:00:00,556.49,50
2842,62,145,2024-01-02 05:00:00,186.09,35
1768,119,156,2024-01-02 06:00:00,572.84,34
4181,37,270,2024-01-02 07:00:00,1115.5,50
3561,134,162,2024-01-02 08:00:00,457.77,40
2113,199,112,2024-01-02 09:00:00,488.97,61
4759,26,185,2024-01-02 10:00:00,219.24,45
627,8,205,2024-01-02 11:00:00,795.8,15
4160,4,97,2024-01-02 12:00:00,1041.7,52
3415,21,55,2024-01-02 13:00:00,520.57,28
1376,159,117,2024-01-02 14:00:00,402.26,40
1182,149,93,2024-01-02 15:00:00,1154.44,60
